Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
F110,0.24,0.11,0.08,0.05,0.28,0.02,0.2,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.03,0,0,0,0
F94,0.22,0.07,0.09,0.06,0.11,0.02,0.05,0,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.01,0,0,0,0
F34,0.16,0.06,0.07,0.05,0.15,0.02,0.23,0.02,0.02,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0,0,0,0
F13,0,0.1,0.07,0.06,0.09,0.02,0.05,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0,0.02,0.02,0.02,0.03,0.15,0,0,0
F7,0.12,0.07,0.12,0.16,0.13,0.03,0.06,0.02,0.01,0,0.02,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F35,0,0.1,0.07,0.06,0.18,0.02,0.09,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.19,0,0.02,0
F33,0.36,0.13,0.1,0.09,0.07,0.03,0.07,0.02,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0,0,0.02,0
F16,0.12,0.05,0.06,0.14,0.12,0.02,0,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.11,0,0,0
F3,0.34,0.12,0.05,0.03,0.05,0.02,0,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.01,0.02,0.17,0.01,0.03,0.17,0.01,0,0
F32,0.18,0.1,0.06,0.05,0.04,0.02,0.25,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F27,0.16,0.07,0.16,0.21,0.21,0.03,0.11,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.04,0,0,0,0.01
F31,0.31,0.12,0.07,0.07,0.15,0.02,0.15,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F8,0.12,0.05,0.04,0.03,0.14,0.02,0,0.02,0.02,0.04,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.15,0.03,0,0
F30,0.24,0.08,0.11,0.13,0.08,0.03,0.05,0.02,0.02,0.02,0.01,0.01,0.02,0.12,0.04,0.01,0.02,0.01,0.02,0,0,0,0.01
F28,0.17,0.06,0.04,0.03,0,0.02,0.03,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.19,0.01,0,0
F29,0,0.17,0.06,0.07,0.12,0.02,0.04,0.02,0.03,0.03,0,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.01,0.22,0.01,0,0.01
F25,0.28,0.1,0.07,0.05,0.24,0.02,0.16,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.05,0,0,0,0
F19,0.44,0.18,0.11,0.07,0.24,0.03,0.24,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0,0.02,0.02,0.01,0.02,0,0,0,0.01
F4,0.2,0.07,0.06,0.05,0.09,0.02,0.17,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0,0,0,0
F23,0.11,0.05,0.08,0.23,0.07,0.01,0,0.02,0.01,0.02,0.01,0.01,0.01,0.12,0.03,0.01,0.01,0.01,0.03,0.02,0,0,0
F18,0,0.2,0.1,0.11,0.14,0.03,0.06,0.02,0.02,0.03,0.02,0.07,0.02,0.05,0.02,0.02,0.02,0.01,0.03,0.35,0,0,0
F11,0,0.12,0.05,0.03,0.25,0.02,0.03,0.02,0.04,0.03,0,0.04,0.02,0.12,0,0,0.02,0.01,0.03,0.15,0,0.02,0.08
F14,0.16,0.07,0.1,0.07,0.14,0.03,0.09,0,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0,0,0,0
F15,0.12,0.05,0.05,0.04,0.11,0.02,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0
F12,0.15,0.05,0.06,0.03,0.02,0.02,0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0.2,0,0,0
F6,0.07,0.04,0.09,0.26,0.11,0.02,0,0,0.01,0.03,0.02,0.01,0.02,0.14,0.04,0.02,0.02,0.01,0.02,0.11,0.03,0,0.01
F1,0,0.12,0.07,0.05,0.34,0.02,0.14,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0,0.01,0.02,0.01,0.03,0.37,0,0,0
F26,0.28,0.15,0.08,0.06,0.1,0.02,0,0.02,0.02,0.03,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.3,0,0.02,0
F17,0.19,0.08,0.06,0.04,0.17,0.02,0.11,0.02,0.04,0.03,0,0.05,0.02,0.17,0,0.02,0.02,0.01,0.03,0,0,0,0.11
F10,0,0.17,0.06,0.04,0.16,0.02,0.32,0,0.04,0.03,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.07,0.35,0,0,0.01
F20,0,0.22,0.04,0.03,0.02,0.02,0.16,0,0.03,0.03,0,0.05,0.01,0.03,0.02,0.01,0.01,0.01,0.04,0.21,0,0,0
F2,0.29,0.1,0.07,0.05,0.29,0.02,0.18,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0,0.01,0.02,0.01,0.04,0,0,0,0
F27,0.16,0.07,0.16,0.21,0.21,0.03,0.11,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.04,0,0,0,0.01
F67,0.32,0.14,0.09,0.06,0.07,0.03,0.23,0.02,0.03,0.03,0.02,0.01,0.02,0.14,0.04,0.02,0.02,0.03,0.03,0,0,0,0.01
F50,0.44,0.15,0.14,0.19,0.13,0.03,0.05,0,0.02,0.02,0.01,0.01,0.02,0.07,0.03,0.01,0.02,0.01,0.02,0,0,0,0
F20,0,0.22,0.04,0.03,0.02,0.02,0.16,0,0.03,0.03,0,0.05,0.01,0.03,0.02,0.01,0.01,0.01,0.04,0.21,0,0,0
F38,0.17,0.06,0.12,0.08,0.37,0.03,0.18,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0.01,0.02,0,0,0,0
F53,0.19,0.07,0.16,0.24,0.08,0.03,0.06,0,0.02,0.02,0.01,0.01,0.02,0.07,0.03,0.02,0.02,0.01,0.03,0,0,0,0.01
F39,0.36,0.14,0.16,0.11,0,0.06,0.49,0.05,0.12,0.07,0.04,0.04,0.04,0.04,0,0.04,0.06,0.02,0.03,0.7,0,0,0.01
F6,0.07,0.04,0.09,0.26,0.11,0.02,0,0,0.01,0.03,0.02,0.01,0.02,0.14,0.04,0.02,0.02,0.01,0.02,0.11,0.03,0,0.01
F31,0.31,0.12,0.07,0.07,0.15,0.02,0.15,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F7,0.12,0.07,0.12,0.16,0.13,0.03,0.06,0.02,0.01,0,0.02,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0.02,0,0,0,0
F45,0,0.14,0.11,0.13,0.07,0.02,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.34,0,0,0
F14,0.16,0.07,0.1,0.07,0.14,0.03,0.09,0,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0,0,0,0
F18,0,0.2,0.1,0.11,0.14,0.03,0.06,0.02,0.02,0.03,0.02,0.07,0.02,0.05,0.02,0.02,0.02,0.01,0.03,0.35,0,0,0
F8,0.12,0.05,0.04,0.03,0.14,0.02,0,0.02,0.02,0.04,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.15,0.03,0,0
F13,0,0.1,0.07,0.06,0.09,0.02,0.05,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0,0.02,0.02,0.02,0.03,0.15,0,0,0
F35,0,0.1,0.07,0.06,0.18,0.02,0.09,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.19,0,0.02,0
F10,0,0.17,0.06,0.04,0.16,0.02,0.32,0,0.04,0.03,0.02,0.01,0.02,0.01,0,0.02,0.02,0.01,0.07,0.35,0,0,0.01
F58,0.09,0.04,0.07,0.05,0.1,0.02,0,0.02,0.01,0.03,0.02,0.01,0.02,0.12,0.04,0.02,0.02,0.01,0.02,0.2,0.04,0,0.01
F4,0.2,0.07,0.06,0.05,0.09,0.02,0.17,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.04,0,0,0,0
F23,0.11,0.05,0.08,0.23,0.07,0.01,0,0.02,0.01,0.02,0.01,0.01,0.01,0.12,0.03,0.01,0.01,0.01,0.03,0.02,0,0,0
F3,0.34,0.12,0.05,0.03,0.05,0.02,0,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.01,0.02,0.17,0.01,0.03,0.17,0.01,0,0
F11,0,0.12,0.05,0.03,0.25,0.02,0.03,0.02,0.04,0.03,0,0.04,0.02,0.12,0,0,0.02,0.01,0.03,0.15,0,0.02,0.08
F24,0.12,0.06,0.04,0.1,0.05,0.01,0,0.02,0.02,0.03,0.01,0.01,0.02,0.17,0.05,0,0,0.01,0.03,0.03,0,0,0.01
F15,0.12,0.05,0.05,0.04,0.11,0.02,0.08,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0,0,0,0
F64,0.13,0.06,0.06,0.05,0.13,0.02,0,0,0.03,0.03,0.01,0.01,0.01,0.02,0,0.01,0.02,0.01,0.01,0.25,0.03,0,0
F26,0.28,0.15,0.08,0.06,0.1,0.02,0,0.02,0.02,0.03,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0.3,0,0.02,0
F28,0.17,0.06,0.04,0.03,0,0.02,0.03,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.19,0.01,0,0
F40,0.12,0.06,0.1,0.09,0.08,0.03,0.08,0.02,0.01,0.02,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.01,0.01,0,0,0.02,0
F55,0.14,0.05,0.16,0.11,0.03,0.02,0.57,0.02,0.01,0,0.06,0.07,0.02,0.31,0.02,0.04,0,0.01,0.02,0.3,0,0.02,0.01
