Strain,beta-Caryophyllene,alpha-Humulene,beta-Pinene,alpha-Pinene,Linalool,Camphene,beta-Myrcene,Geraniol,trans-Nerolidol,Caryophyllene Oxide,delta-3-Carene,alpha-Terpinene,para-Cymene,beta-Ocimene,Eucalyptol,gamma-Terpinene,Terpinolene,cis-Nerolidol,alpha-Bisabolol,D-Limonene,Guaiol,Isopulegol,alpha-Ocimene
Frosted Garlic Margy,0.08,0.04,0.19,0.15,0.02,0.05,0.21,0.02,0.04,0.02,0.01,0.02,0.02,0.1,0.04,0.02,0.03,0.01,0.02,0,0.02,0.02,0.01
FFO,0.11,0.04,0.08,0.3,0.05,0.02,0,0,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01
MSDO,0.19,0.08,0.04,0.03,0.04,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.07,0.01,0.02,0.11,0.03,0.05,0
Blackberry OG,0,0.08,0.03,0.03,0.14,0.02,0.07,0.01,0.02,0.02,0.01,0.04,0.01,0.12,0.04,0.01,0.01,0.01,0.02,0.16,0.02,0.11,0.1
MOB,0.17,0.06,0.07,0.1,0.04,0.02,0.08,0.02,0.04,0.03,0.02,0.07,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0,0.02,0.17,0.01
Strawberry Éclair,0.21,0.09,0.05,0.03,0.08,0.02,0.23,0,0.02,0.02,0.01,0.06,0.02,0.01,0.07,0.02,0.02,0.01,0,0,0.02,0.08,0.01
Strawberry Cough,0.1,0.03,0.07,0.05,0.04,0.01,0.2,0.02,0.01,0.02,0.03,0.03,0.01,0.06,0.01,0.02,0,0.01,0.02,0.05,0.01,0.04,0
Purple Chemdawg,0.17,0.06,0.08,0.05,0.06,0.02,0.15,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.07,0.01,0.02,0.01,0.02,0,0.02,0.18,0
GMO21,0,0.18,0.06,0.04,0.02,0.02,0.26,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.08,0.01,0.02,0.01,0.05,0.33,0.02,0.12,0
Banana Bread,0.14,0.06,0.07,0.16,0.11,0.02,0,0,0.03,0.02,0.01,0.02,0.01,0.36,0.1,0.02,0.02,0.01,0.04,0.14,0.02,0.08,0.01
Waffle Cone,0.17,0.06,0.17,0.16,0.17,0.04,0.06,0.01,0.02,0.02,0.01,0.01,0.02,0.06,0.02,0.02,0.02,0.01,0.02,0,0.04,0.35,0.01
Barn Burner,0.04,0.03,0.13,0.1,0.13,0.03,0.29,0.02,0.01,0.03,0.02,0.02,0.02,0.05,0.02,0.02,0.03,0.01,0.02,0,0.03,0.24,0.01
Rotten Mango,0.04,0.03,0.09,0.08,0.04,0.01,0,0.02,0.01,0.03,0.03,0.03,0.02,0.17,0.02,0.03,0.38,0.01,0.02,0.03,0.03,0.03,0.01
Banana Ice Cream,0.24,0.08,0.11,0.07,0.09,0.03,0.14,0.01,0.02,0.02,0.01,0.1,0.02,0.39,0.12,0.02,0.02,0.01,0.02,0,0.02,0.17,0.01
Waffle Dough,0.18,0.07,0.15,0.14,0.14,0.03,0.1,0.02,0.03,0.02,0.02,0.14,0.02,0.06,0.03,0.02,0.02,0.01,0.04,0,0.02,0.23,0.01
Pinewalker CBDv #1,0.2,0.09,0.06,0.12,0.03,0.02,0,0,0.01,0.03,0.02,0.04,0.02,0.33,0.1,0.28,0.02,0.02,0.03,0.13,0.03,0.06,0.01
Pinewalker CBDv #2,0.2,0.09,0.06,0.14,0.04,0.02,0,0,0.01,0.03,0.02,0.04,0.02,0.34,0.11,0.29,0.02,0.02,0.04,0.14,0.03,0.06,0.01
Forbidden V #2,0.23,0.1,0.06,0.1,0.05,0.02,0,0,0.02,0.03,0.02,0.04,0.02,0.18,0.06,0.16,0.02,0.01,0.04,0.14,0.03,0.07,0.01
HPC21,0.12,0.04,0.07,0.21,0.07,0.01,0,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.07,0.02,0.05,0
ACBDC-Sample #1,0.05,0.03,0.04,0.09,0.02,0.01,0,0,0.01,0,0.01,0.02,0.01,0.02,0.01,0.02,0.11,0.01,0.01,0.02,0,0.02,0.01
Cherry Pie,0.39,0.17,0.09,0.05,0.28,0.02,0,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.1,0.01,0.02,0.01,0.02,0.39,0.02,0.18,0.01
White Widow,0.19,0.1,0.06,0.1,0.11,0.02,0.16,0,0.03,0.03,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.01,0.04,0,0.02,0.09,0.01
Bruce Banner,0,0.16,0.03,0.03,0.04,0.01,0.04,0.02,0.03,0.04,0.07,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.05,0.13,0.02,0.07,0.08
Golden Lemon & Unknown,0.2,0.08,0.19,0.4,0.05,0.02,0,0,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.22,0.02,0.02,0
Hemp Flower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pre Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space Cheese X Astrodawg,0.4,0.13,0.05,0.03,0.08,0.01,0,0,0.02,0.02,0.1,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.04,0.19,0.02,0.09,0.11
Sweet N' Stanky #4,0.2,0.07,0.06,0.03,0.09,0.02,0,0.02,0.03,0.03,0.01,0.06,0.01,0.01,0.08,0.01,0.01,0.01,0.02,0.27,0.03,0.09,0
Purple Candy,0.32,0.18,0.04,0.02,0.05,0.01,0,0.02,0.02,0.02,0.08,0.04,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.14,0.02,0.07,0.08
Platinum Cookie Glue #1,0.22,0.08,0.06,0.21,0.06,0.02,0,0,0.02,0.03,0.01,0.02,0.01,0.05,0.02,0.05,0.01,0.01,0.02,0.06,0,0.03,0
Werewolf OG #1,0.28,0.09,0.07,0.04,0.19,0.02,0,0,0.02,0.03,0.01,0.01,0.01,0.01,0.07,0.01,0.02,0.01,0.02,0.26,0.02,0.11,0
Wonder Woman,0.21,0.09,0.04,0.03,0.03,0.02,0.08,0,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0.06,0
Lemon Thriller,0,0.1,0.02,0.02,0.06,0.01,0.03,0,0.01,0.03,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.04,0.06,0.01,0.07,0.03
Gorilla Water,0,0.16,0.05,0.03,0.04,0.02,0.06,0,0.03,0.03,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.28,0.02,0.08,0
Mango Sherbet,0,0.19,0.05,0.03,0.07,0.02,0.11,0.02,0.03,0.03,0.11,0.05,0.01,0.01,0.06,0.01,0.01,0.01,0.08,0.22,0.04,0.07,0.12
Purple Mountain Majesty,0,0.23,0.05,0.03,0.05,0.02,0.3,0,0.03,0.03,0.1,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.2,0.02,0.07,0.11
Pine Sap Kush (CBD),0.24,0.08,0.1,0.33,0.02,0.02,0,0,0.02,0.03,0.01,0.01,0.01,0.12,0.03,0.01,0.03,0.01,0.06,0.07,0.05,0.04,0.01
White Cherry Gelato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rainbow Belts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funnel Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Raspberry Gelato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hasidic Chem,0.21,0.06,0.09,0.06,0.12,0.02,0.52,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.16,0.01,0.02,0.01,0.01,0,0.01,0.19,0
Butterwolf,0.12,0.04,0.08,0.05,0.27,0.02,0.22,0,0.02,0.03,0.01,0.01,0.01,0.01,0.07,0.01,0.02,0.01,0.02,0,0,0.19,0
ButterStuff 3,0.07,0.03,0.09,0.06,0.02,0.02,0.13,0,0.01,0.02,0.03,0.03,0.01,0.07,0.01,0.02,0,0.01,0.02,0.13,0.01,0.02,0
ButterStuff 6,0,0.14,0.04,0.03,0.37,0.02,0.11,0.05,0.04,0.04,0.02,0.04,0.02,0.11,0.04,0,0.03,0.04,0.1,0.13,0.03,0.25,0.07
Panm,0,0.06,0.04,0.03,0.16,0.02,0.07,0,0.02,0.03,0.05,0.02,0.01,0.08,0.03,0.01,0.01,0.01,0.02,0.1,0.01,0.09,0.05
Gorilla Bomb,0.13,0.05,0.28,0,0.05,0.02,0.34,0.02,0.02,0.03,0.37,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.07,0.03,0.05,0
Fruit Loops,0.17,0.07,0.03,0.05,0.04,0.01,0,0,0.02,0.04,0.01,0.01,0.01,0.19,0.05,0.13,0,0.01,0.05,0.01,0.02,0,0.01
Powpaya #3,0.31,0.09,0.06,0.04,0.04,0.02,0,0,0.01,0.03,0.01,0.06,0.01,0.01,0.09,0.01,0.02,0.01,0.02,0.33,0.04,0.09,0
Diesel Biscotti Sundae,0.43,0.13,0.05,0.03,0.13,0.02,0,0,0.03,0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.03,0.18,0.02,0.06,0.1
GMO,0.3,0.12,0.1,0.07,0.07,0.03,0.26,0,0.03,0.03,0.01,0.01,0.01,0.5,0.16,0.01,0.02,0.01,0.02,0,0.02,0.2,0.01
Rad,0.07,0.03,0.39,0,0.02,0.03,0.19,0.02,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.09,0.02,0.06,0
Mac N Cookies,0.17,0.08,0.04,0.03,0.13,0.01,0.07,0.02,0.02,0.02,0.11,0.01,0.01,0.16,0.06,0.01,0.01,0.01,0.06,0,0.04,0.17,0.12
Zkittlez,0.24,0.07,0.06,0.04,0.42,0.02,0,0.02,0.03,0,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0,0.31,0.01,0.01,0
Dosido,0.18,0.07,0.08,0.05,0.29,0.02,0.08,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.02,0,0.01,0.25,0
Peanut Butter Cake Mix,0.12,0.05,0.05,0.05,0.06,0.02,0.06,0.02,0.02,0.02,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0,0.02,0.13,0.1
Chmdawg,0.25,0.09,0.06,0.04,0.03,0.02,0.14,0,0.02,0.03,0.01,0.06,0.01,0.24,0.09,0.01,0.01,0.01,0.03,0,0.02,0.15,0
Ice Cream Cake,0,0.1,0.04,0.03,0.18,0.02,0.03,0,0.03,0.03,0.07,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.14,0,0.18,0.08
Wilson Zero,0.06,0.03,0.15,0.18,0.12,0.03,0.19,0,0.01,0,0.01,0.01,0.01,0.01,0.17,0.01,0.02,0.01,0.01,0,0,0.21,0
Wet Paint,0.04,0.02,0.11,0.16,0.04,0.02,0,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.19,0.02,0.1,0.1
Wedding Crasher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkish Delight,0.07,0.03,0.08,0.06,0.02,0.01,0.13,0,0.01,0,0.03,0.03,0.01,0.16,0.01,0.03,0,0.01,0.01,0.13,0.02,0.05,0.01
Flower Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grapefruit Chem,0.04,0.02,0.02,0.01,0.04,0.01,0,0,0.01,0,0.02,0.02,0,0.02,0.02,0.01,0,0.01,0,0.03,0,0.02,0.02
LA Kusk Cake #2,0.24,0.09,0.06,0.04,0.16,0.02,0.06,0,0,0.02,0,0,0,0,0,0,0.01,0.02,0.03,0.27,0,0,0
Skunk Hero Flower,0.19,0.06,0.02,0.02,0.06,0,0.09,0,0,0,0,0,0.01,0,0,0,0,0.03,0.02,0.03,0,0,0
Salami Glue 44,0.09,0.05,0.06,0.05,0.05,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0.05,0,0.11,0,0,0
Sweet Jake Haze,0.05,0.02,0.05,0.1,0.03,0.01,0.08,0,0,0,0.02,0.02,0.04,0,0,0.02,0.07,0.02,0,0.02,0,0,0
Jar 7,0.32,0.11,0.08,0.05,0.24,0.02,0.06,0.02,0.03,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.02,0.01,0.03,0,0,0.01,0
Jar 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pheno Cup Flower D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Punch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charolette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G13 x GMO,0.07,0.03,0.04,0.03,0,0.01,0.04,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0
Triangle Pupil x Seasoned Meat,0.03,0.02,0.02,0.01,0.05,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.08,0,0,0
G13 x GMO,0.07,0.03,0.04,0.03,0,0.01,0.04,0,0.01,0,0,0,0.01,0,0,0,0.01,0.01,0.01,0,0,0,0
Waffle Cone #1,0.05,0.02,0.03,0.03,0.06,0.01,0.02,0,0.01,0,0,0,0.01,0.02,0,0,0.01,0,0,0,0,0,0
Mandarin Jack,0,0.03,0.02,0.01,0.03,0.01,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.05,0,0,0
Waffle Cone #2,0.06,0.02,0.05,0.04,0.05,0.01,0.02,0,0.01,0.02,0,0,0.01,0.01,0,0,0,0,0,0,0.02,0,0
Gaia's Fiyah #2,0.18,0.06,0.09,0.08,0.11,0.02,0.03,0.01,0.01,0,0,0,0.01,0.03,0,0.01,0.01,0,0.01,0,0,0,0
Medi Haze,0.23,0.08,0.06,0.03,0.05,0.02,0,0,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0.02,0,0.03,0.25,0.03,0,0
FMJ #1,0.14,0.05,0.07,0.04,0.13,0.02,0,0.02,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.03,0.15,0,0,0
Lemon Headband,0.11,0.07,0.13,0.17,0.05,0.01,0.24,0,0.02,0,0.02,0.03,0.01,0.1,0.01,0.02,0,0,0,0.06,0,0,0
Han Solo Burger,0.24,0.09,0.1,0.06,0.18,0.02,0.3,0,0.02,0,0,0.01,0.01,0,0,0.01,0.02,0,0.02,0,0,0,0
Gorrilla Glue #4,0.36,0.13,0.11,0.07,0.07,0.03,0.3,0.02,0.03,0,0.01,0.01,0.01,0.01,0,0.01,0.02,0,0.03,0,0,0,0
Stroopwafel,0,0.09,0.05,0.03,0.13,0.01,0.26,0,0.02,0.02,0,0,0.01,0,0,0,0.01,0,0,0.22,0,0,0
FMJ #4,0.22,0.08,0.06,0.03,0.15,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.03,0.21,0,0,0
Runtz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweeties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grape Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Alien OG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Cream Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Dream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wedding Cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apple Fritters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour OG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Sherbet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset Sherbet #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheesecake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skunk Hero,0,0.07,0.04,0.02,0.06,0.01,0.16,0,0.02,0,0,0,0.01,0.01,0,0,0.01,0,0.02,0.11,0,0,0
Purple Chem,0.28,0.08,0.09,0.05,0.11,0.02,0.49,0.01,0.02,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.02,0,0,0,0
Mac Cherry Breath,0.17,0.06,0.07,0.05,0.26,0.02,0.21,0,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.01,0,0,0,0
Slymer x Wilson,0.06,0.03,0.14,0.14,0.06,0.02,0.04,0.01,0.01,0,0,0.01,0.01,0.06,0,0.01,0.01,0,0,0,0.03,0.01,0
,0.1211578947,0.07328070175,0.06924561404,0.06607017544,0.09092982456,0.01731578947,0.08221052632,0.008754385965,0.0170877193,0.01785964912,0.01145614035,0.01328070175,0.01094736842,0.05266666667,0.01643859649,0.01161403509,0.01761403509,0.009210526316,0.01915789474,0.08107017544,0.009385964912,0.02366666667,0.01610526316
